#Name,1st,2nd,3rd,other,discipline,cup
Aydin Sali,5,-,-,-,kata tým,Three Kings Open
Aydin Sali,-,-,3,-,kata jednotlivci,2. kolo Národního poháru TKFS
Aydin Sali,5,-,-,-,kata tým,2. kolo Národního poháru TKFS
Aydin Sali,-,4,-,-,kumite jednotlivci,2. kolo Národního poháru TKFS
Aydin Sali,-,-,-,1,kata jednotlivci,Hausnerův pohár
Aydin Sali,-,-,-,1,kata tým,Hausnerův pohár
Aydin Sali,-,-,-,1,kumite jednotlivci,Hausnerův pohár
Aydin Sali,-,-,-,1,kata jednotlivci,Mistrovství Evropy
Aydin Sali,-,-,3,-,kata tým,Mistrovství Evropy
Aydin Sali,-,4,-,-,kata jednotlivci,Pražský pohár karate
Aydin Sali,5,-,-,-,kata tým,Pražský pohár karate
Aydin Sali,5,-,-,-,kumite jednotlivci,Pražský pohár karate
Aydin Sali,-,4,-,-,kata jednotlivci,Ledečský pohár
Aydin Sali,-,4,-,-,kata jednotlivci,Prague Open Karate Cup
Aydin Sali,5,-,-,-,kata tým,Prague Open Karate Cup
Aydin Sali,5,-,-,-,kumite jednotlivci,Prague Open Karate Cup
Aydin Sali,5,-,-,-,kata tým,Mistrovství České republiky
Aydin Sali,-,-,3,-,kumite jednotlivci,Mistrovství České republiky
Aydin Sali,-,-,3,-,kata jednotlivci,1. kolo Národního poháru TKFS
Aydin Sali,5,-,-,-,kata tým,1. kolo Národního poháru TKFS
Aydin Sali,5,-,-,-,kumite jednotlivci,1. kolo Národního poháru TKFS
Aydin Sali,-,-,-,1,kata jednotlivci,Pohár brněnského draka
Aydin Sali,5,-,-,-,kata tým,Pohár brněnského draka
Aydin Sali,-,-,3,-,kumite jednotlivci,Pohár brněnského draka
Borková Silvie,-,-,-,1,kata jednotlivci,Hausnerův pohár
Brtník David,5,-,-,-,kata jednotlivci,Mistrovství České republiky
Brtník David,-,-,3,-,kihon,Mistrovství České republiky
Brtník David,-,-,3,-,kata jednotlivci,1. kolo Národního poháru TKFS
Brtník David,5,-,-,-,kata tým,1. kolo Národního poháru TKFS
Brtník David,-,4,-,-,kihon,1. kolo Národního poháru TKFS
Brtník David,-,-,-,1,kata jednotlivci,Pohár brněnského draka
Brtník David,-,-,-,1,kata tým,Pohár brněnského draka
Brtník David,-,-,-,1,kumite jednotlivci,Pohár brněnského draka
Dufek Jan,-,-,-,1,kata jednotlivci,Hausnerův pohár
Fenkart Filip,-,-,-,1,kata jednotlivci,Hausnerův pohár
Kawulok Lukáš,5,-,-,-,kata jednotlivci,3. kolo Národního poháru TKFS
Kawulok Lukáš,5,-,-,-,kata tým,3. kolo Národního poháru TKFS
Kawulok Lukáš,5,-,-,-,kihon,3. kolo Národního poháru TKFS
Kawulok Lukáš,5,-,-,-,kumite jednotlivci,3. kolo Národního poháru TKFS
Kawulok Lukáš,5,-,-,-,kata jednotlivci,Mistrovství České republiky
Kawulok Lukáš,-,-,3,-,kata tým,Mistrovství České republiky
Kawulok Lukáš,5,-,-,-,kihon,Mistrovství České republiky
Kawulok Lukáš,5,-,-,-,kumite jednotlivci,Mistrovství České republiky
Kawulok Lukáš,-,-,-,1,kata jednotlivci,1. kolo Národního poháru TKFS
Kawulok Lukáš,5,-,-,-,kata tým,1. kolo Národního poháru TKFS
Kawulok Lukáš,-,-,3,-,kumite jednotlivci,1. kolo Národního poháru TKFS
Kawulok Lukáš,-,-,-,1,kata jednotlivci,Pohár brněnského draka
Kawulok Lukáš,-,-,-,1,kata tým,Pohár brněnského draka
Kawulok Lukáš,-,-,-,1,kata tým,Pohár brněnského draka
Kawulok Lukáš,-,-,-,1,kumite jednotlivci,Pohár brněnského draka
Kawulok Ondřej,-,4,-,-,kata jednotlivci,3. kolo Národního poháru TKFS
Kawulok Ondřej,5,-,-,-,kata tým,3. kolo Národního poháru TKFS
Kawulok Ondřej,-,-,3,-,kumite jednotlivci,3. kolo Národního poháru TKFS
Kawulok Ondřej,-,-,-,1,kata jednotlivci,Mistrovství České republiky
Kawulok Ondřej,-,-,3,-,kata tým,Mistrovství České republiky
Kawulok Ondřej,-,-,-,1,kata jednotlivci,1. kolo Národního poháru TKFS
Kawulok Ondřej,5,-,-,-,kata tým,1. kolo Národního poháru TKFS
